% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate,day,week
55.2,16.98,3019.53,557.434,395.713,10.0664,1.74,249.214,253.235,250.576,295.096,306.4,250.225,250.884,457.396,432.962,424.954,443.558,502.255,446.37,523.344,66.91,1.31,1,1
55.2,16.98,3125.78,590.698,404.297,10.1178,1.74186,250.137,252.861,249.126,295.096,306.4,253.389,250.225,451.44,384.138,450.2,466.796,477.528,481.874,476.714,66.91,1.31,1,1
55.2,16.98,2877.93,517.578,405.029,10.1475,1.64224,249.39,249.719,248.071,295.096,306.4,250.159,250.378,445.435,396.2,447.02,463.67,466.51,455.05,464.03,67.06,1.11,1,1
55.2,16.98,3471.88,550.415,401.602,10.0816,1.68704,251.104,248.599,250.928,295.096,306.4,249.346,249.521,452.742,429.108,451.816,427.732,470.256,479.41,501.548,67.06,1.11,1,1
55.2,16.98,3778.32,579.834,393.604,10.1102,1.72148,251.807,246.094,252.004,295.096,306.4,250.554,254.641,461.15,440.154,443.078,435.469,432.034,446.874,431.586,66.97,1.27,1,1
55.2,16.98,3571.48,595.459,402.715,9.98511,1.74407,251.763,257.432,252.949,295.096,306.4,250.4,251.191,444.233,433.642,447.83,443.98,455.278,451.184,468.99,66.97,1.27,1,1
55.2,16.98,3315.04,578.979,403.652,9.93022,1.72038,250.071,247.896,250.532,295.096,306.4,249.829,250.686,447.086,454.99,435.203,428.591,417.161,429.673,360.461,66.75,1.36,1,1
55.2,16.98,3134.77,611.572,401.66,9.84375,1.74964,250.488,252.905,252.466,295.096,306.4,244.775,248.95,535.022,572.07,547.1,563.67,551.33,530.94,540.72,66.75,1.36,1,1
55.2,16.98,3670.9,615.479,402.48,9.70671,1.77,249.785,253.982,249.631,295.096,306.4,250.686,251.609,554.491,548.221,539.495,547.386,545.82,554.683,532.282,66.63,1.34,1,1
55.2,16.98,3451.37,625.244,397.617,9.74003,1.77,248.774,250.708,251.719,295.096,306.4,249.478,248.555,550.737,546.81,554.66,551.482,538.334,585.708,540.058,66.85,1.15,1,1
55.2,16.98,3382.81,620.361,403.623,9.95552,1.76,252.114,245.874,249.39,295.096,306.4,250.137,250.62,557.294,558.65,548.619,549.887,542.08,609.291,589.001,66.85,1.15,1,1
54.95,17.4,3467.29,623.779,398.145,10.1178,1.76262,251.982,253.477,249.126,295.096,306.4,250.181,249.346,550.837,550.096,544.08,532.424,549.018,588.4,562.35,65.76,2.76,1,1
54.95,17.4,746.582,618.896,401.514,10.2008,1.76293,249.17,247.961,248.95,295.096,306.4,249.829,251.587,558.545,548.565,554.115,541.215,540.04,616.62,582.935,65.76,2.76,1,1
54.95,17.4,3387.89,594.849,404.648,10.2202,1.77,252.729,253.257,250.488,295.096,306.4,250.444,250.972,546.533,542.84,550.562,551.248,552.102,543.708,519.642,65.89,2.65,1,1
54.95,17.4,3559.18,567.078,393.721,10.1448,1.76596,248.906,249.434,249.368,295.096,306.4,250.422,249.653,566.553,562.217,542.139,531.445,556.344,593.775,565.111,65.89,2.65,1,1
54.95,17.4,4123.54,588.257,402.07,9.92095,1.76,248.555,248.291,250.225,295.096,306.4,251.675,249.741,557.344,543.52,545.272,573.672,539.872,554.01,545.798,66.68,1.73,1,1
54.95,17.4,3245.8,585.693,402.158,9.91554,1.76,249.587,247.126,248.357,295.096,306.4,249.456,246.863,545.582,546.804,554.066,568.046,560.149,593.156,612.232,66.68,1.73,1,1
